id;software_name;software_ver;software_cat_id;summarry_cat_id
1;fuchsia Infrastructure hack;Dollar vortals;27291;1288
2;schemas transmitting generate;Berkshire Assistant Colorado;29664;85757
3;Table;e-commerce innovate;57779;29504
4;interfaces National;Computer Cove;14861;92753
5;feed;Security withdrawal;93273;82499
6;action-items;Cheese turquoise Sports;95977;44159
7;Buckinghamshire;matrix monetize Tuna;50278;71215
8;analyzing;Chief copying Analyst;80705;44003
9;payment Senior action-items;Borders;61735;1618
10;Director bypass Human;bi-directional;93339;81084
